judul_berita,tanggal,website,data_cleansing,data_case_folding,tokens,stopword_removal,lemmatization,informal_to_formal_indo,informal_to_formal_indo_english
Prabowo Undang MBZ Jalin Kerjasama dengan Indonesia untuk Ketahanan Pangan Hingga Energi,2024-11-24,https://www.hulondalo.id/news/96414013866/prabowo-undang-mbz-jalin-kerjasama-dengan-indonesia-untuk-ketahanan-pangan-hingga-energi,Prabowo Undang MBZ Jalin Kerjasama dengan Indonesia untuk Ketahanan Pangan Hingga Energi,prabowo undang mbz jalin kerjasama dengan indonesia untuk ketahanan pangan hingga energi,"['prabowo', 'undang', 'mbz', 'jalin', 'kerjasama', 'dengan', 'indonesia', 'untuk', 'ketahanan', 'pangan', 'hingga', 'energi']","['prabowo', 'undang', 'mbz', 'jalin', 'kerjasama', 'indonesia', 'ketahanan', 'pangan', 'energi']","['prabowo', 'undang', 'mbz', 'jalin', 'kerjasama', 'indonesia', 'ketahanan', 'pangan', 'energi']",prabowo undang mbz jalin kerjasama indonesia ketahanan pangan energi,Prabowo MBZ UU establishing Indonesian food security cooperation
"UEA Libatkan Indonesia untuk Misi Kemanusiaan di Gaza, Prabowo: Terima Kasih",2024-11-24,https://www.hulondalo.id/news/96414013735/uea-libatkan-indonesia-untuk-misi-kemanusiaan-di-gaza-prabowo-terima-kasih,UEA Libatkan Indonesia untuk Misi Kemanusiaan di Gaza  Prabowo  Terima Kasih,uea libatkan indonesia untuk misi kemanusiaan di gaza  prabowo  terima kasih,"['uea', 'libatkan', 'indonesia', 'untuk', 'misi', 'kemanusiaan', 'di', 'gaza', 'prabowo', 'terima', 'kasih']","['uea', 'libatkan', 'indonesia', 'misi', 'kemanusiaan', 'gaza', 'prabowo', 'terima', 'kasih']","['uea', 'libatkan', 'indonesia', 'misi', 'kemanusiaan', 'gaza', 'prabowo', 'terima', 'kasih']",uea libatkan indonesia misi kemanusiaan gaza prabowo terima kasih,UAE Involve Indonesia Humanitarian Mission Gaza Prabowo Thank you
"Sambut Prabowo dengan Meriah, Presiden UEA: Kita Saling Mengenal Sekian Tahun, Saya Bangga",2024-11-24,https://www.hulondalo.id/news/96414013707/sambut-prabowo-dengan-meriah-presiden-uea-kita-saling-mengenal-sekian-tahun-saya-bangga,Sambut Prabowo dengan Meriah  Presiden UEA  Kita Saling Mengenal Sekian Tahun  Saya Bangga,sambut prabowo dengan meriah  presiden uea  kita saling mengenal sekian tahun  saya bangga,"['sambut', 'prabowo', 'dengan', 'meriah', 'presiden', 'uea', 'kita', 'saling', 'mengenal', 'sekian', 'tahun', 'saya', 'bangga']","['sambut', 'prabowo', 'meriah', 'presiden', 'uea', 'mengenal', 'sekian', 'bangga']","['sambut', 'prabowo', 'meriah', 'presiden', 'uea', 'mengenal', 'sekian', 'bangga']",sambut prabowo meriah presiden uea mengenal sekian bangga,welcomed Prabowo's festive President of UAE to know so proudly
"Kedatangan Prabowo Disambut Meriah oleh Presiden UEA, Dentuman Meriam hingga Pasukan Berkuda dan Unta",2024-11-24,https://www.hulondalo.id/news/96414013688/kedatangan-prabowo-disambut-meriah-oleh-presiden-uea-dentuman-meriam-hingga-pasukan-berkuda-dan-unta,Kedatangan Prabowo Disambut Meriah oleh Presiden UEA  Dentuman Meriam hingga Pasukan Berkuda dan Unta,kedatangan prabowo disambut meriah oleh presiden uea  dentuman meriam hingga pasukan berkuda dan unta,"['kedatangan', 'prabowo', 'disambut', 'meriah', 'oleh', 'presiden', 'uea', 'dentuman', 'meriam', 'hingga', 'pasukan', 'berkuda', 'dan', 'unta']","['kedatangan', 'prabowo', 'disambut', 'meriah', 'presiden', 'uea', 'dentuman', 'meriam', 'pasukan', 'berkuda', 'unta']","['kedatangan', 'prabowo', 'disambut', 'meriah', 'presiden', 'uea', 'dentuman', 'meriam', 'pasukan', 'berkuda', 'unta']",kedatangan prabowo disambut meriah presiden uea dentuman meriam pasukan berkuda unta,The arrival of Prabowo was welcomed
Bawaslu Pohuwato Awasi Penertiban Alat Peraga Kampanye,2024-11-24,https://www.hulondalo.id/politik/96414013459/bawaslu-pohuwato-awasi-penertiban-alat-peraga-kampanye,Bawaslu Pohuwato Awasi Penertiban Alat Peraga Kampanye,bawaslu pohuwato awasi penertiban alat peraga kampanye,"['bawaslu', 'pohuwato', 'awasi', 'penertiban', 'alat', 'peraga', 'kampanye']","['bawaslu', 'pohuwato', 'awasi', 'penertiban', 'alat', 'peraga', 'kampanye']","['bawaslu', 'pohuwato', 'awasi', 'penertiban', 'alat', 'peraga', 'kampanye']",bawaslu pohuwato awasi penertiban alat peraga kampanye,Bawaslu Pohuwato Monitor the Control of Campaign Props
LBI Deklarasikan Dukungan untuk Paslon Ahmad Syaikhu dan Ilham Habibie di Pilgub Jabar 2024,2024-11-24,https://www.hulondalo.id/politik/96414013408/lbi-deklarasikan-dukungan-untuk-paslon-ahmad-syaikhu-dan-ilham-habibie-di-pilgub-jabar-2024,LBI Deklarasikan Dukungan untuk Paslon Ahmad Syaikhu dan Ilham Habibie di Pilgub Jabar ,lbi deklarasikan dukungan untuk paslon ahmad syaikhu dan ilham habibie di pilgub jabar ,"['lbi', 'deklarasikan', 'dukungan', 'untuk', 'paslon', 'ahmad', 'syaikhu', 'dan', 'ilham', 'habibie', 'di', 'pilgub', 'jabar']","['lbi', 'deklarasikan', 'dukungan', 'paslon', 'ahmad', 'syaikhu', 'ilham', 'habibie', 'pilgub', 'jabar']","['lbi', 'deklarasikan', 'dukungan', 'paslon', 'ahmad', 'syaikhu', 'ilham', 'habibie', 'pilgub', 'jabar']",lbi deklarasikan dukungan paslon ahmad syaikhu ilham habibie pilgub jabar,LBI Declars Support Paslon Ahmad Syaikhu Ilham Habibie Pilgub West Java
"Masuk Masa Tenang Pilkada, Satgas Gakum Polda Gorontalo Tingkatkan Patroli",2024-11-24,https://dulohupa.id/masuk-masa-tenang-pilkada-satgas-gakum-polda-gorontalo-tingkatkan-patroli/,Masuk Masa Tenang Pilkada  Satgas Gakum Polda Gorontalo Tingkatkan Patroli,masuk masa tenang pilkada  satgas gakum polda gorontalo tingkatkan patroli,"['masuk', 'masa', 'tenang', 'pilkada', 'satgas', 'gakum', 'polda', 'gorontalo', 'tingkatkan', 'patroli']","['masuk', 'tenang', 'pilkada', 'satgas', 'gakum', 'polda', 'gorontalo', 'tingkatkan', 'patroli']","['masuk', 'tenang', 'pilkada', 'satgas', 'gakum', 'polda', 'gorontalo', 'tingkatkan', 'patroli']",masuk tenang pilkada satgas gakum polda gorontalo tingkatkan patroli,The calm period of the Gorontalo Polda Task Force Gorontalo Patrol
KORPRI Kota Gorontalo Ziarah ke Makam Tokoh dalam Rangka HUT ke-53,2024-11-23,https://pojok6.id/korpri-kota-gorontalo-ziarah-ke-makam-tokoh-dalam-rangka-hut-ke-53/,KORPRI Kota Gorontalo Ziarah ke Makam Tokoh dalam Rangka HUT ke ,korpri kota gorontalo ziarah ke makam tokoh dalam rangka hut ke ,"['korpri', 'kota', 'gorontalo', 'ziarah', 'ke', 'makam', 'tokoh', 'dalam', 'rangka', 'hut', 'ke']","['korpri', 'kota', 'gorontalo', 'ziarah', 'makam', 'tokoh', 'rangka', 'hut']","['korpri', 'kota', 'gorontalo', 'ziarah', 'makam', 'tokoh', 'rangka', 'hut']",korpri kota gorontalo ziarah makam tokoh rangka hut,KORPRI Gorontalo City Pilgrimage Tomb of the Hut Frame Figure
"Apel Siaga Pengawasan Pilkada 2024, Pj Sekda Tegaskan Profesionalisme Pengawas TPS",2024-11-23,https://pojok6.id/apel-siaga-pengawasan-pilkada-2024-pj-sekda-tegaskan-profesionalisme-pengawas-tps/,Apel Siaga Pengawasan Pilkada   Pj Sekda Tegaskan Profesionalisme Pengawas TPS,apel siaga pengawasan pilkada   pj sekda tegaskan profesionalisme pengawas tps,"['apel', 'siaga', 'pengawasan', 'pilkada', 'pj', 'sekda', 'tegaskan', 'profesionalisme', 'pengawas', 'tps']","['apel', 'siaga', 'pengawasan', 'pilkada', 'pj', 'sekda', 'tegaskan', 'profesionalisme', 'pengawas', 'tps']","['apel', 'siaga', 'pengawasan', 'pilkada', 'pj', 'sekda', 'tegaskan', 'profesionalisme', 'pengawas', 'tps']",apel siaga pengawasan pilkada pj sekda tegaskan profesionalisme pengawas tps,Apple Standby Supervision of the Regional Election of the PJ Regional Secretary to Affirm the Professionalism of TPS Supervisors
"Pemprov Gorontalo Rilis Logo HUT ke-24 Provinsi, Ini Makna dan Nilai-nilai Adatnya",2024-11-23,https://pojok6.id/pemprov-gorontalo-rilis-logo-hut-ke-24-provinsi-ini-makna-dan-nilai-nilai-adatnya/,Pemprov Gorontalo Rilis Logo HUT ke  Provinsi  Ini Makna dan Nilai nilai Adatnya,pemprov gorontalo rilis logo hut ke  provinsi  ini makna dan nilai nilai adatnya,"['pemprov', 'gorontalo', 'rilis', 'logo', 'hut', 'ke', 'provinsi', 'ini', 'makna', 'dan', 'nilai', 'nilai', 'adatnya']","['pemprov', 'gorontalo', 'rilis', 'logo', 'hut', 'provinsi', 'makna', 'nilai', 'nilai', 'adatnya']","['pemprov', 'gorontalo', 'rilis', 'logo', 'hut', 'provinsi', 'makna', 'nilai', 'nilai', 'adatnya']",pemprov gorontalo rilis logo hut provinsi makna nilai nilai adatnya,Gorontalo Provincial Government released the provincial anniversary logo
"Pengawalan Logistik Pilkada, Polres Bone Bolango Bakal Kerahkan 299 Personel",2024-11-23,https://pojok6.id/pengawalan-logistik-pilkada-polres-bone-bolango-bakal-kerahkan-299-personel/,Pengawalan Logistik Pilkada  Polres Bone Bolango Bakal Kerahkan  Personel,pengawalan logistik pilkada  polres bone bolango bakal kerahkan  personel,"['pengawalan', 'logistik', 'pilkada', 'polres', 'bone', 'bolango', 'bakal', 'kerahkan', 'personel']","['pengawalan', 'logistik', 'pilkada', 'polres', 'bone', 'bolango', 'kerahkan', 'personel']","['pengawalan', 'logistik', 'pilkada', 'polres', 'bone', 'bolango', 'kerahkan', 'personel']",pengawalan logistik pilkada polres bone bolango kerahkan personel,logistics escort of the Bone Bolango Regional Police Headquarters mobilized personnel
Pendukung Hendra Hendra – Wasito Membludak di Kecamatan Limboto,2024-11-23,https://pojok6.id/pendukung-hendra-hendra-wasito-membludak-di-kecamatan-limboto/,Pendukung Hendra   Wasito Membludak di Kecamatan Limboto,pendukung hendra   wasito membludak di kecamatan limboto,"['pendukung', 'hendra', 'wasito', 'membludak', 'di', 'kecamatan', 'limboto']","['pendukung', 'hendra', 'wasito', 'membludak', 'kecamatan', 'limboto']","['pendukung', 'hendra', 'wasito', 'membludak', 'kecamatan', 'limboto']",pendukung hendra wasito membludak kecamatan limboto,Supporters of Hendra Wasito Builds Limboto District
"Jelang Distribusi Logistik Pilkada 2024, KPU Bone Bolango Gelar Rapat Koordinasi",2024-11-23,https://pojok6.id/jelang-distribusi-logistik-pilkada-2024-kpu-bone-bolango-gelar-rapat-koordinasi/,Jelang Distribusi Logistik Pilkada   KPU Bone Bolango Gelar Rapat Koordinasi,jelang distribusi logistik pilkada   kpu bone bolango gelar rapat koordinasi,"['jelang', 'distribusi', 'logistik', 'pilkada', 'kpu', 'bone', 'bolango', 'gelar', 'rapat', 'koordinasi']","['jelang', 'distribusi', 'logistik', 'pilkada', 'kpu', 'bone', 'bolango', 'gelar', 'rapat', 'koordinasi']","['jelang', 'distribusi', 'logistik', 'pilkada', 'kpu', 'bone', 'bolango', 'gelar', 'rapat', 'koordinasi']",jelang distribusi logistik pilkada kpu bone bolango gelar rapat koordinasi,Ahead of the Logistics Distribution of the KPU Pilkada Bone Bolango Holds a Coordination Meeting
KPU Boalemo: Pembersihan APK Paslon Dimulai Malam Ini,2024-11-23,https://pojok6.id/kpu-boalemo-pembersihan-apk-paslon-dimulai-malam-ini/,KPU Boalemo  Pembersihan APK Paslon Dimulai Malam Ini,kpu boalemo  pembersihan apk paslon dimulai malam ini,"['kpu', 'boalemo', 'pembersihan', 'apk', 'paslon', 'dimulai', 'malam', 'ini']","['kpu', 'boalemo', 'pembersihan', 'apk', 'paslon', 'malam']","['kpu', 'boalemo', 'pembersihan', 'apk', 'paslon', 'malam']",kpu boalemo pembersihan apk paslon malam,KPU Boalemo Cleaning Apk Paslon Night
Pemkot Gorontalo Komitmen Dukung Pilkada Serentak 2024 yang Aman dan Berkualitas,2024-11-23,https://pojok6.id/pemkot-gorontalo-komitmen-dukung-pilkada-serentak-2024-yang-aman-dan-berkualitas/,Pemkot Gorontalo Komitmen Dukung Pilkada Serentak  yang Aman dan Berkualitas,pemkot gorontalo komitmen dukung pilkada serentak  yang aman dan berkualitas,"['pemkot', 'gorontalo', 'komitmen', 'dukung', 'pilkada', 'serentak', 'yang', 'aman', 'dan', 'berkualitas']","['pemkot', 'gorontalo', 'komitmen', 'dukung', 'pilkada', 'serentak', 'aman', 'berkualitas']","['pemkot', 'gorontalo', 'komitmen', 'dukung', 'pilkada', 'serentak', 'aman', 'berkualitas']",pemkot gorontalo komitmen dukung pilkada serentak aman berkualitas,Gorontalo City Government Commitment to Support Quality Simultaneous Pilkada
Ismail Madjid : Pengelolaan Dana Bos Harus Tranparansi dan Akuntabilitas,2024-11-23,https://read.id/ismail-madjid-pengelolaan-dana-bos-harus-tranparansi-dan-akuntabilitas/,Ismail Madjid   Pengelolaan Dana Bos Harus Tranparansi dan Akuntabilitas,ismail madjid   pengelolaan dana bos harus tranparansi dan akuntabilitas,"['ismail', 'madjid', 'pengelolaan', 'dana', 'bos', 'harus', 'tranparansi', 'dan', 'akuntabilitas']","['ismail', 'madjid', 'pengelolaan', 'dana', 'bos', 'tranparansi', 'akuntabilitas']","['ismail', 'madjid', 'pengelolaan', 'dana', 'bos', 'tranparansi', 'akuntabilitas']",ismail madjid pengelolaan dana bos tranparansi akuntabilitas,Ismail Madjid Management of Accountability Transparency BOS Funds
Pemkot Gorontalo Nilai Gugus Tugas Ketahanan Pangan Miliki Banyak Manfaat,2024-11-23,https://read.id/pemkot-gorontalo-nilai-gugus-tugas-ketahanan-pangan-miliki-banyak-manfaat/,Pemkot Gorontalo Nilai Gugus Tugas Ketahanan Pangan Miliki Banyak Manfaat,pemkot gorontalo nilai gugus tugas ketahanan pangan miliki banyak manfaat,"['pemkot', 'gorontalo', 'nilai', 'gugus', 'tugas', 'ketahanan', 'pangan', 'miliki', 'banyak', 'manfaat']","['pemkot', 'gorontalo', 'nilai', 'gugus', 'tugas', 'ketahanan', 'pangan', 'miliki', 'manfaat']","['pemkot', 'gorontalo', 'nilai', 'gugus', 'tugas', 'ketahanan', 'pangan', 'miliki', 'manfaat']",pemkot gorontalo nilai gugus tugas ketahanan pangan miliki manfaat,Gorontalo City Government The value of the Food Security Task Force has benefits
"Temui PT. SMI, Pemerintah Kota Gorontalo Konsultasi Soal TJSL",2024-11-23,https://read.id/temui-pt-smi-pemerintah-kota-gorontalo-konsultasi-soal-tjsl/,Temui PT  SMI  Pemerintah Kota Gorontalo Konsultasi Soal TJSL,temui pt  smi  pemerintah kota gorontalo konsultasi soal tjsl,"['temui', 'pt', 'smi', 'pemerintah', 'kota', 'gorontalo', 'konsultasi', 'soal', 'tjsl']","['temui', 'pt', 'smi', 'pemerintah', 'kota', 'gorontalo', 'konsultasi', 'tjsl']","['temui', 'pt', 'smi', 'pemerintah', 'kota', 'gorontalo', 'konsultasi', 'tjsl']",temui pt smi pemerintah kota gorontalo konsultasi tjsl,Meet PT SMI Government Gorontalo City TJSL Consultation
Pemkot Gorontalo Dukung Pengurus Wilayah Syarikat Islam Kembangkan Ekonomi Umat,2024-11-23,https://read.id/pemkot-gorontalo-dukung-pengurus-wilayah-syarikat-islam-kembangkan-ekonomi-umat/,Pemkot Gorontalo Dukung Pengurus Wilayah Syarikat Islam Kembangkan Ekonomi Umat,pemkot gorontalo dukung pengurus wilayah syarikat islam kembangkan ekonomi umat,"['pemkot', 'gorontalo', 'dukung', 'pengurus', 'wilayah', 'syarikat', 'islam', 'kembangkan', 'ekonomi', 'umat']","['pemkot', 'gorontalo', 'dukung', 'pengurus', 'wilayah', 'syarikat', 'islam', 'kembangkan', 'ekonomi', 'umat']","['pemkot', 'gorontalo', 'dukung', 'pengurus', 'wilayah', 'syarikat', 'islam', 'kembangkan', 'ekonomi', 'umat']",pemkot gorontalo dukung pengurus wilayah syarikat islam kembangkan ekonomi umat,Gorontalo City Government Supports Islamic Syarikat Regional Management Developing the Economy of the Ummah
Pj Ismail Madjid Harap Kunjungan Duta Besar Timur Tengah Ke Gorontalo Beri Dampak Positif Bagi Daerah,2024-11-23,https://read.id/pj-ismail-madjid-harap-kunjungan-duta-besar-timur-tengah-ke-gorontalo-beri-dampak-positif-bagi-daerah/,Pj Ismail Madjid Harap Kunjungan Duta Besar Timur Tengah Ke Gorontalo Beri Dampak Positif Bagi Daerah,pj ismail madjid harap kunjungan duta besar timur tengah ke gorontalo beri dampak positif bagi daerah,"['pj', 'ismail', 'madjid', 'harap', 'kunjungan', 'duta', 'besar', 'timur', 'tengah', 'ke', 'gorontalo', 'beri', 'dampak', 'positif', 'bagi', 'daerah']","['pj', 'ismail', 'madjid', 'harap', 'kunjungan', 'duta', 'timur', 'gorontalo', 'dampak', 'positif', 'daerah']","['pj', 'ismail', 'madjid', 'harap', 'kunjungan', 'duta', 'timur', 'gorontalo', 'dampak', 'positif', 'daerah']",pj ismail madjid harap kunjungan duta timur gorontalo dampak positif daerah,PJ Ismail Madjid Please visit the East Gorontalo Ambassador to the positive impact of the region
Pj Wali Kota Ismail Madjid Ziarah Makam Tokoh Organisasi Bersama Pengurus Dan Anggora Korpri Kota Gorontalo,2024-11-23,https://read.id/pj-wali-kota-ismail-madjid-ziarah-makam-tokoh-organisasi-bersama-pengurus-dan-anggora-korpri-kota-gorontalo/,Pj Wali Kota Ismail Madjid Ziarah Makam Tokoh Organisasi Bersama Pengurus Dan Anggora Korpri Kota Gorontalo,pj wali kota ismail madjid ziarah makam tokoh organisasi bersama pengurus dan anggora korpri kota gorontalo,"['pj', 'wali', 'kota', 'ismail', 'madjid', 'ziarah', 'makam', 'tokoh', 'organisasi', 'bersama', 'pengurus', 'dan', 'anggora', 'korpri', 'kota', 'gorontalo']","['pj', 'wali', 'kota', 'ismail', 'madjid', 'ziarah', 'makam', 'tokoh', 'organisasi', 'pengurus', 'anggora', 'korpri', 'kota', 'gorontalo']","['pj', 'wali', 'kota', 'ismail', 'madjid', 'ziarah', 'makam', 'tokoh', 'organisasi', 'pengurus', 'anggora', 'korpri', 'kota', 'gorontalo']",pj wali kota ismail madjid ziarah makam tokoh organisasi pengurus anggora korpri kota gorontalo,Acting Mayor Ismail Madjid Zirah Tomb of the Gorontalo City Angora Korpri Management Organization Organization
Satgaswil Gorontalo Bersama Tokoh Agama Dan Pemda Pohuwato Gandeng Mantan Napiter Cegah Radikalisme di Pohuwato,2024-11-23,https://read.id/satgaswil-gorontalo-bersama-tokoh-agama-dan-pemda-pohuwato-gandeng-mantan-napiter-cegah-radikalisme-di-pohuwato/,Satgaswil Gorontalo Bersama Tokoh Agama Dan Pemda Pohuwato Gandeng Mantan Napiter Cegah Radikalisme di Pohuwato,satgaswil gorontalo bersama tokoh agama dan pemda pohuwato gandeng mantan napiter cegah radikalisme di pohuwato,"['satgaswil', 'gorontalo', 'bersama', 'tokoh', 'agama', 'dan', 'pemda', 'pohuwato', 'gandeng', 'mantan', 'napiter', 'cegah', 'radikalisme', 'di', 'pohuwato']","['satgaswil', 'gorontalo', 'tokoh', 'agama', 'pemda', 'pohuwato', 'gandeng', 'mantan', 'napiter', 'cegah', 'radikalisme', 'pohuwato']","['satgaswil', 'gorontalo', 'tokoh', 'agama', 'pemda', 'pohuwato', 'gandeng', 'mantan', 'napiter', 'cegah', 'radikalisme', 'pohuwato']",satgaswil gorontalo tokoh agama pemda pohuwato gandeng mantan napiter cegah radikalisme pohuwato,Gorontalo Task Force Religious Leaders Pohuwato Regional Government Cooperated Former Napiter Preventing Pohuwato Radicalism
