informal_to_formal_indo,sentiment_label
kejari kabupaten gorontalo musnahkan barang bukti berkekuatan hukum,1
disporapar tingkatkan kapasitas pelaku usaha kuliner kabupaten gorontalo,2
pemprov gorontalo deklarasi pemberantasan aktivitas keuangan ilegal,0
wakil rektor i ung pantau pelaksanaan utbk ukppg guru,2
orasi ilmiah wisuda ung penjagub bahas ekonomi digital pembangunan,2
kemenko ekonomi gelar pengembangan umkm karawo,2
kpu tegaskan sanksi paslon kampanye tenang,1
dprd kota gorontalo pastikan pembayaran tpp honor ketua rt rw guru ngaji imam masjid,2
espin tulie tampung aspirasi warga desa dumati infrastruktur sektor ekonomi,1
oktober ribu anak palestina meninggal dunia akibat genosida israel gaza,2
survei warga tibawa pulubala pilih gusnar idah,2
mahasiswa univesitas era tonny marten generasi muda penerus perintis pembangunan daerah,2
resmi ditutup umkm fest kota gorontalo sukses,1
presiden ri menteri ahy peroleh brevet kehormatan hiu kencana tni al,2
pemprov rilis logo hut provinsi gorontalo,2
ulang siswi gorontalo terima,2
aktivitas tambang galian c diduga penyebab banjir aleg femmy udoki,0
pemprov kabupaten kota tandatangani naskah pks pembiayaan,2
sambut komite perpres publisher right meta tiktok kolaborasi wujudkan ekosistem jurnalisme berkualitas indonesia,1
anggota deprov gorontalo dapil ii iv gelar res perdana kunjungi kantor bupati kabupaten gorontalo,2
kampanye monologis hendra wasito bentuk keseriusan berjuang raih kemenangan,1
kapolri apresiasi brimob berhasil bebaskan pilot susi air disandera kkb,1
pemkot gorontalo canangkan hut korpri bkn dwp guru tingkatkan semangat pengabdian,2
kerja jica dirjen ptpp harap pengelolaan pertanahan inovatif berdampak,1
hasil survei gusnar idah unggul persen pilgub gorontalo,1
ismail bangga smpn kota gorontalo deklarasi anti narkoba perundungan,1
mendukung investasi menteri nusron siapkan pp rencana tata ruang wilayah nasional,2
perdana gorontalo ibca gorontalo gelar open tournament pentas baku lapas,2
calon gubernur hamzah isa jadikan budaya ciri khas pariwisata gorontalo,2
kunjungan kajati pohuwato perkokoh hubungan kejaksaan pemda,2
kampanye asparaga hendra wasito sambut ribuan warga,2
bupati suharsi harapkan desiminasi hadirkan solusi konkret turunkan angka stunting pohuwato,1
jelang debat pilkada nasib kotak kosong,0
keripik albaeta keripik kentang lokal sukses berkat dukungan bri,1
dpr ri muhammad herindra layak gantikan budi gunawan kepala bin,1
pemanfaatan regsosek intervensi program,2
pani gold project dukung karya bakti tni kodim pohuwato jalan trans sulawesi,2
laksanakan res anggota legislatif kota gorontalo dapil iv terima aspirasi pembangunan infrastruktur,2
giliran kecamatan sipatana lokasi pelaksanaan sosialisasi posyandu terintegritas,2
srikandi tonny marten turun gunung jemput kemenangan pilgub,0
harga terjangkau pemkot kotamobagu sediakan bahan pokok gerakan pangan murah,1
bukti rakyat cinta thariq gendong lokasi kampanye akbar,1
petani gorontalo aldi uloli kesejahteraan petani doakan tonny marten menang pilgub,1
transformasi ekonomi misi tonny marten atasi kemiskinan provinsi gorontalo,1
daerah gorontalo didorong produk,2
presiden kabinet merah putih retreat olahraga akmil magelang,2
presiden ri joko widodo dianugerahi medali kehormatan loka praja samrakshana polri,2
jack ye petani miliarder pemilik miniso mengubah dunia ritel,2
pj gubernur laporkan kesiapan pilkada gorontalo,2
peluang garuda muda lolo kualifikasi piala asia u intip daftar pemain dipanggil coach nova arianto,2
gelar capacity building tpid gorontalo belajar kiat,2
lampaui rihanna taylor swift musisi wanita terkaya nomor dunia,2
pj gubernur penurunan kemiskinan ekstrem,0
peserta daerah ramaikan ghm,2
seleksi ppk lingkungan bawaslu cek formasi persyaratan rincian tugas jabatan,2
pkk gorontalo gelar pelatihan digital marketing,2
pojok umkm kampanye ramah nur salam permintaan haji ramli,1
erwin ismail jamin kesejahteraan masyarakat pasangan gas terpilih,2
pemprov pemda gorontalo tandatangani pks optimalisasi pemungutan pajak sinergi pemungutan opsen,2
tonny marten tampil kriti debat,2
musnahkan barang bukti haris tome apresiasi kejari kabupaten gorontalo,0
pemkot kotamobagu buka seleksi ppk,2
pemdes terapung sinergikan bumdes umkm,2
keseruan the girl market surabaya talkshow inspiratif workshop parfum musik kpop,1
pecah pendukung tumpah ruah kampanye monologis g,2
ketua kpu pj bupati boalemo terjun langsung tertibkan apk paslon,1
